meter,first_ts,last_ts,first_cum,last_cum,overall_by_range,robust_sum_diffs,used_total
13836498,2025-06-01 12:15:00,2025-06-08 12:00:00,6517117.0,6568540.0,51423.0,51423.0,51423.0
14098248,2025-06-01 12:15:00,2025-06-08 12:00:00,98223850.0,99352590.0,1128740.0,1128740.0,1128740.0
14101503,2025-06-01 12:45:00,2025-06-05 06:15:00,2755245.0,2782318.0,27073.0,27073.0,27073.0
14101511,2025-06-01 12:45:00,2025-06-08 12:15:00,5265757.0,5352925.0,87168.0,87168.0,87168.0
14101513,2025-06-01 12:45:00,2025-06-08 12:30:00,7657362.0,7799070.0,141708.0,141708.0,141708.0
14101530,2025-06-01 12:45:00,2025-06-08 12:15:00,9793489.0,9920951.0,127462.0,127462.0,127462.0
14101590,2025-06-01 12:45:00,2025-06-08 12:15:00,3326504.0,3366751.0,40247.0,40247.0,40247.0
14101593,2025-06-01 12:45:00,2025-06-08 12:30:00,814.0,814.0,0.0,0.0,0.0
14101607,2025-06-01 12:45:00,2025-06-08 12:30:00,8996589.0,9107725.0,111136.0,111136.0,111136.0
14101611,2025-06-01 12:45:00,2025-06-08 12:30:00,4837833.0,4898717.0,60884.0,60884.0,60884.0
14101619,2025-06-01 12:45:00,2025-06-08 12:30:00,6504294.0,6562616.0,58322.0,58322.0,58322.0
14212364,2025-06-01 12:15:00,2025-06-08 12:00:00,1016.0,1016.0,0.0,0.0,0.0
14270112,2025-06-01 12:15:00,2025-06-08 12:00:00,7983280.0,8130960.0,147680.0,147680.0,147680.0
14270128,2025-06-01 12:15:00,2025-06-08 12:00:00,293310.0,317979.0,24669.0,24669.0,24669.0
14270160,2025-06-01 12:15:00,2025-06-08 12:00:00,56915490.0,57583580.0,668090.0,668090.0,668090.0
14286724,2025-06-01 12:15:00,2025-06-08 12:00:00,296640.0,302343.0,5703.0,5703.0,5703.0
14381537,2025-06-01 12:15:00,2025-06-08 06:00:00,2865098.0,2902158.0,37060.0,37060.0,37060.0
14381538,2025-06-01 12:15:00,2025-06-08 12:00:00,6612615.0,6645627.0,33012.0,33012.0,33012.0
14381539,2025-05-28 00:00:00,2025-06-05 00:00:00,700408.0,711720.0,11312.0,11312.0,11312.0
14381540,2025-06-01 06:15:00,2025-06-08 12:00:00,7068.0,7068.0,0.0,0.0,0.0
14381541,2025-06-01 00:00:00,2025-06-07 00:00:00,1248922.0,1265263.0,16341.0,16341.0,16341.0
14381543,2025-06-01 12:15:00,2025-06-08 12:00:00,9565264.0,9671923.0,106659.0,106659.0,106659.0
14381544,2025-05-11 00:00:00,2025-05-17 00:00:00,2854901.0,2899384.0,44483.0,44483.0,44483.0
